Código do Arquétipo;Composição de Zonas;Zona Predominante;Chave de Correspondência;R;Y;B;Nome Técnico;Nome Simbólico;Parágrafo Diagnóstico (Técnico);Parágrafo Reflexivo (Simbólico);Mensagem-Chave;Gatilho Tátil;Gatilho Olfato;Gatilho Audição;Gatilho Visão;Gatilho Paladar
A099;11??–0??–1??;??;R11Y0B1;11;0;1;Perfil de Intuição Alinhada ao Serviço;A Voz Interior Coletiva;Pessoa que segue sua intuição para ajudar os outros. Age em silêncio, guiada por uma percepção sutil do que é necessário.;Você ouve a necessidade antes que ela seja dita. Sua alma age como ponte entre o invisível e o agora.;A intuição que serve é voz do espírito em forma de gesto.;Dedos tocando os ouvidos e depois o coração;Flor de laranjeira e verbena;Sons suaves que precedem o silêncio;Pessoa agindo antes de ser solicitada;Infusão de flores brancas e mel
A100;12??–0??–0??;??;R12Y0B0;12;0;0;Perfil de Transparência Espiritual com Ação Ética;O Espelho Dourado;Pessoa que vive com transparência e retidão, guiada por princípios elevados, mesmo nos pequenos detalhes.;Você não precisa explicar sua luz — ela se nota nos seus atos. Sua alma é espelho limpo e brilho manso.;Integridade é espiritualidade que chegou à prática.;Toque com os dedos no centro do peito e leve inclinação do queixo;Olíbano e flor clara;Notas claras e contínuas em tons ascendentes;Reflexo do sol sobre água limpa;Alimento fresco com sabor puro (ex: fruta recém-colhida)
A101;10??–1??–1??;??;R10Y1B1;10;1;1;Perfil de Interiorização com Sabedoria Visionária;O Vidente Silencioso;Pessoa que vive voltada ao mundo interior com lucidez e conexão com o futuro. Sua visão é orientadora.;Você vê longe mesmo de olhos fechados. Sua alma é bússola que aponta para o que ainda não nasceu.;Ver antes é sentir com os olhos do espírito.;Toque entre as sobrancelhas e peito simultaneamente;Mirra e erva-cidreira;Som de notas que ecoam lentamente para longe;Neblina com figura caminhando ao fundo;Infusão escura e profunda com raiz
A102;9??–2??–1??;??;R9Y2B1;9;2;1;Perfil de Amor como Estado Natural;O Sol Interno;Pessoa que vibra amor sem distinção, sem esforço. É amor que acontece porque se é, não porque se faz.;Você não precisa decidir amar — você já é. Seu amor não depende de estímulo, ele é fonte contínua.;Ser amor é mais profundo do que amar alguém.;Toque quente nas costas das mãos com gratidão;Flor de campo e mel suave;Sons solares — pássaros, risos, folhas dançando;Sol interno em meditação irradiando luz;Alimento simples e luminoso como fruta fresca
A103;8??–3??–1??;??;R8Y3B1;8;3;1;Perfil de Comunhão Espiritual em Ações Rotineiras;O Monge Cotidiano;Pessoa que fez do cotidiano um altar. Suas tarefas simples tornaram-se atos sagrados pela intenção colocada.;Você varre o chão como quem consagra. Suas ações são liturgias do invisível.;Consagrar é fazer do comum, sagrado.;Toque nos joelhos e depois no peito com respiração lenta;Chá preto e folha seca;Sons cotidianos com intenção sagrada (ex: água sendo colocada);Cenas simples com luz suave (cozinha, jardim);Comida feita com intenção e presença
A104;7??–4??–1??;??;R7Y4B1;7;4;1;Perfil de Presença Silenciosa Transformadora;A Luz que Fica;Indivíduo que impacta pelo silêncio e pela qualidade da presença. Não precisa falar — apenas estar.;Você não deixa lembranças — deixa vibração. Sua alma fica onde passou.;A presença mais profunda é a que fala sem palavras.;Mãos cruzadas sobre o plexo solar com respiração sutil;Flor clara e fumaça leve;Som de silêncio denso e acolhedor;Luz que permanece em ambiente vazio;Infusão delicada, quase imperceptível
A105;6??–5??–1??;??;R6Y5B1;6;5;1;Perfil de União Estável com o Divino;O Uno com o Todo;Pessoa que vive permanentemente em estado de conexão com o divino. Age, fala e pensa em consonância com a consciência superior.;Você não fala sobre Deus — você vive como Ele. Seu corpo é templo, sua vida é prece.;A união com o divino é um estado, não um evento.;Toque simultâneo na testa, peito e abdômen;Olíbano, mirra e flor branca;Som de cântico suave ao fundo do silêncio;Figura luminosa em plena paisagem natural;Infusão sagrada com mel e raiz
A106;5??–6??–1??;??;R5Y6B1;5;6;1;Perfil de Amor como Expressão da Verdade Espiritual;A Palavra Amor;Pessoa que fala e age com coerência plena entre o amor espiritual e o discurso cotidiano. Suas palavras são bênçãos.;Você não fala de amor — você é amor que se expressa em sílabas. Sua voz é ponte entre o alto e o aqui.;Falar com amor é evangelizar com a vida.;Toque nos lábios com os olhos fechados e respiração presente;Rosa branca e mel;Voz doce e lenta, ecoando suavemente;Luz dourada saindo da boca de quem ora;Doce suave com flor ou mel
A107;4??–7??–1??;??;R4Y7B1;4;7;1;Perfil de Maturidade Emocional Espiritualizada;A Árvore Anciã;Pessoa que vive com estabilidade, amor e sabedoria sem ostentação. Sua maturidade é guia e alicerce.;Você já não reage — você responde com raízes. Sua alma está velha de paz.;Velhice da alma é juventude da luz.;Toque no coração com uma das mãos e outra no chão ou joelho;Madeira antiga e ervas secas;Som de vento em árvores muito antigas;Árvore centenária em campo aberto;Alimento rústico, ancestral (pão de raízes, caldo simples)
A108;3??–8??–1??;??;R3Y8B1;3;8;1;Perfil de Realização Espiritual em Plenitude;A Consciência Viva;Pessoa que vive em plena presença, unidade e ação sagrada. Não há separação entre espírito, corpo e missão.;Você se tornou consciência que caminha. Sua existência inteira é oração encarnada.;Não há mais caminho — você é o próprio templo.;Toque sequencial no centro do peito, abdômen e entre as sobrancelhas;Flor sagrada, raiz e incenso leve;Silêncio com vibração grave em fundo quase imperceptível;Aura luminosa ao redor de figura em meditação;Infusão sagrada de flores, raízes e mel
A109;0??–1??–11??;??;R0Y1B11;0;1;11;Perfil de Inspiração Interior Ativa;A Brisa que Motiva;Pessoa que se move por motivações sutis vindas de sua interioridade. Age em sintonia com algo mais profundo do que a vontade momentânea.;Você não precisa de empurrões — o que te move vem de dentro, como uma brisa que sopra em silêncio e direção.;A verdadeira motivação nasce do centro, não da pressão.;Toque com os dedos no peito e respiração expandida;Cítricos leves e flor de limoeiro;Som de folhas balançando ao vento;Brisa movendo as cortinas suavemente;Chá cítrico com toque de mel
A110;1??–1??–10??;??;R1Y1B10;1;1;10;Perfil de Força Interior Compassiva;A Rocha com Coração;Indivíduo que equilibra firmeza com acolhimento. É sólido sem ser rígido, forte sem ser frio.;Você sustenta e acolhe. É abrigo e impulso ao mesmo tempo. Sua alma é rocha com coração pulsante.;A força mais nobre é a que protege com ternura.;Toque firme sobre o peito com as duas mãos;Madeira e rosa selvagem;Som grave com intervalos longos e suaves;Montanha com vegetação florida;Raiz doce com chá morno
A111;2??–1??–9??;??;R2Y1B9;2;1;9;Perfil de Clareza Mental com Alinhamento Espiritual;A Lâmpada Silenciosa;Pessoa que desenvolveu clareza e discernimento com base em princípios elevados. Pensa com sabedoria e age com intenção.;Você pensa com o coração e decide com a alma. Sua lucidez é uma forma de luz.;A mente se torna sábia quando serve ao espírito.;Toque entre as sobrancelhas e depois no peito;Alecrim e resina clara;Sinos leves em ambiente aberto;Lâmpada antiga iluminando um caminho escuro;Infusão de ervas claras com toque cítrico
A112;3??–1??–8??;??;R3Y1B8;3;1;8;Perfil de Amor Consciente em Relações;A Presença que Acolhe;Pessoa que manifesta amor com discernimento, sem apego ou dependência. Cuida com liberdade.;Você aprendeu que amar é estar, não prender. Sua presença traz conforto sem cobrança.;Amor verdadeiro é presença sem pressão.;Toque leve nos ombros com respiração consciente;Flor de maracujá e hortelã;Voz baixa e suave dizendo 'estou aqui';Abraço com espaço, sorriso sem exigência;Bebida fresca com toque floral suave
A113;4??–1??–7??;??;R4Y1B7;4;1;7;Perfil de Enraizamento com Propósito;A Raiz que Dança;Pessoa que mantém os pés firmes na realidade enquanto cultiva intenções elevadas. Vive com estabilidade e leveza simultâneas.;Você aprendeu a fincar raízes sem se prender. Seu propósito brota com leveza, como raiz que dança sob a terra.;Estabilidade não é rigidez — é solo fértil para voar.;Toque simultâneo nos pés e no peito com presença;Patchouli e flor de campo;Sons de tambor lento e folhas ao vento;Raízes entrelaçadas sustentando uma flor;Infusão terrosa com toque floral
A114;5??–1??–6??;??;R5Y1B6;5;1;6;Perfil de Expansão Silenciosa de Virtudes;A Aurora Interna;Pessoa que irradia virtudes de forma espontânea e sem alarde. Sua luz se espalha sem esforço ou palavras.;Você ilumina sem saber. Sua alma é uma aurora que chega sem avisar, mas transforma o que toca.;A virtude verdadeira não grita — ela amanhece.;Mãos abertas no colo com respiração circular;Flor branca e toque cítrico suave;Som de alvorada: brisa, pássaros e silêncio;Luz dourada surgindo sobre montanhas;Fruta suave em jejum com intenção
A115;6??–1??–5??;??;R6Y1B5;6;1;5;Perfil de Conexão Plena com o Tempo Presente;O Agora Eterno;Pessoa que vive o presente como o único tempo possível. Sua atenção total se torna um dom espiritual.;Você não espera mais pelo amanhã. Sua alma descobriu que o agora é o milagre que se repete.;Estar por inteiro é viver o eterno no instante.;Toque nos dedos, um a um, com atenção plena;Hortelã fresca e flor de laranjeira;Som de respiração e batida do próprio coração;Relógio parado e luz viva no entorno;Comida simples saboreada em silêncio
A116;7??–1??–4??;??;R7Y1B4;7;1;4;Perfil de Altruísmo Espiritualizado;O Dom que Transborda;Pessoa que doa sua energia, tempo e amor com pureza de intenção. O servir se tornou natural.;Você não serve para ser visto — serve porque existe em abundância. Seu dom virou oferta viva.;Servir com pureza é tornar-se extensão da Graça.;Mãos estendidas com palma aberta para frente;Flor de lírio e resina sutil;Som de águas mansas fluindo por pedras;Mãos entregando uma luz ou flor;Bebida quente servida com intenção amorosa
A117;8??–1??–3??;??;R8Y1B3;8;1;3;Perfil de Gratidão como Estado Natural;O Agradecido Silencioso;Pessoa que cultiva gratidão como forma de presença. Reconhece beleza e propósito em tudo que chega.;Você agradece até o silêncio. Sua alma encontrou o ouro da vida nas coisas pequenas.;Gratidão é o perfume da alma madura.;Toque no coração com leve inclinação da cabeça;Flor de laranjeira e anis;Sons leves de sino e vento em folhas;Pessoa com olhos fechados em gesto de gratidão;Fruta doce consumida lentamente
A118;9??–1??–2??;??;R9Y1B2;9;1;2;Perfil de Discrição como Expressão de Sabedoria;O Guardião Silencioso;Pessoa que compreende a força do silêncio e da não exposição. Age com discrição, fala com precisão.;Você entendeu que nem tudo precisa ser mostrado. Sua sabedoria está em guardar e não em mostrar.;Silêncio também é forma de cura.;Toque nos lábios e no centro do peito com respiração pausada;Cedro e flor seca;Som abafado de vento em madeira;Porta entreaberta com luz interna;Infusão escura com toque herbal
A119;10??–1??–1??;??;R10Y1B1;10;1;1;Perfil de Completude sem Necessidade de Excesso;O Vazio Pleno;Indivíduo que sente plenitude mesmo em simplicidade. Não busca preencher vazios — pois já habita sua inteireza.;Você não corre mais atrás — porque está inteiro. Sua presença se basta.;O vazio pode ser pleno quando há alma preenchendo.;Toque no centro do abdômen com os olhos fechados;Incenso leve e ar puro;Silêncio profundo com notas espaçadas;Sala vazia com luz suave;Chá neutro com temperatura morna
A120;11??–1??–0??;??;R11Y1B0;11;1;0;Perfil de Serviço Anônimo com Impacto Amoroso;A Presença que Cura;Pessoa que transforma ambientes e pessoas apenas por estar. Atua sem intenção de reconhecimento, mas com impacto real.;Você chegou e tudo ficou mais leve. Sua alma toca sem tocar. Sua presença é bálsamo.;Curar é estar sem impor. Servir é amar sem mostrar.;Toque suave nos ombros e nuca;Lavanda e flor medicinal;Som de vento leve e respiração profunda;Pessoa parada em paz em meio ao caos;Infusão relaxante com capim-santo
A121;12??–0??–0??;??;R12Y0B0;12;0;0;Perfil de Amor Silencioso e Universal;O Cuidado Invisível;Pessoa que ama sem declarar, cuida sem cobrar, oferece sem esperar. Atua com presença amorosa e silenciosa.;Você é o cuidado que ninguém vê, mas todos sentem. Sua alma se manifesta onde o olhar não alcança.;O verdadeiro amor não faz alarde — ele transforma no silêncio.;Toque suave no dorso das mãos com olhos fechados;Flor de jasmim e camomila;Sons suaves como se fossem sussurros de vento;Pessoa ajudando sem ser percebida;Chá claro e floral, servido com intenção
A122;11??–1??–0??;??;R11Y1B0;11;1;0;Perfil de Sabedoria Vivencial Consolidada;A Rocha do Tempo;Pessoa cuja experiência foi transformada em sabedoria. Não ensina por palavras, mas por exemplo e energia.;Você não aprendeu lendo — você aprendeu vivendo. E sua alma virou livro aberto que cura pelo olhar.;A sabedoria é o fruto doce da dor transformada.;Toque com firmeza no centro do peito com respiração lenta;Madeira envelhecida e erva seca;Sons pausados de vento entre montanhas;Rochedo sobre o qual crescem flores;Infusão encorpada com sabor terroso e sutil
A123;10??–2??–0??;??;R10Y2B0;10;2;0;Perfil de Alinhamento entre Alma e Obra;O Criador Espiritual;Indivíduo que expressa sua espiritualidade naquilo que cria. Sua obra é extensão do seu estado interior elevado.;Você cria com o sopro da alma. Sua arte, suas ações e seus gestos são pedaços da luz que habita você.;A alma quando transborda, vira obra viva.;Mãos em prece, depois abertas em forma de concha;Incenso sagrado e flor macerada;Sons criativos suaves, como pincel ou lápis;Obra sendo formada a partir da luz;Alimento artesanal feito com propósito
A124;9??–3??–0??;??;R9Y3B0;9;3;0;Perfil de Unificação Plena com a Missão Espiritual;O Espírito Encarnado;Pessoa cuja vida inteira tornou-se missão. Cada gesto é extensão do divino e toda ação vibra propósito.;Você já não vive — você manifesta. Sua alma fundiu-se ao plano superior e sua presença é a própria resposta.;Missão não é o que você faz — é o que você é.;Toque no alto da cabeça e depois no coração com reverência;Flor sagrada e resina celestial;Silêncio profundo com tom grave de fundo;Figura iluminada caminhando entre pessoas;Infusão sagrada com mel e flor de jasmim
A125;8??–4??–0??;??;R8Y4B0;8;4;0;Perfil de Luz Contida em Presença Serena;O Farol Interior;Pessoa cuja presença transmite calma e orientação, mesmo em silêncio. Sua alma guia como um farol, sem sair do lugar.;Você não precisa correr, nem falar alto. Sua luz se impõe pela paz que oferece ao estar.;O farol não se move, mas guia até os perdidos.;Toque com uma mão sobre o coração e outra sobre a cabeça;Flor de lavanda e âmbar leve;Notas longas e graves em eco;Luz constante no topo de uma torre isolada;Infusão morna de lavanda e sálvia
A126;7??–5??–0??;??;R7Y5B0;7;5;0;Perfil de Harmonia Transbordante;O Jardim do Espírito;Pessoa que emana harmonia por onde passa. Seus estados internos reverberam cura e beleza ao ambiente.;Você não diz que está em paz — você contagia o ambiente com sua vibração. Sua alma é jardim em flor.;A verdadeira harmonia não se impõe — ela se oferece.;Mãos tocando levemente as têmporas em movimento circular;Rosa branca, jasmim e hortelã fresca;Canto suave de pássaros e água em fonte;Jardim florido sob luz suave;Infusão de pétalas e frutas leves
A127;6??–6??–0??;??;R6Y6B0;6;6;0;Perfil de União Espiritual com a Criação;O Ser Integrado;Indivíduo que se reconhece como parte ativa da criação. Age com respeito e consciência em tudo o que toca.;Você parou de se sentir separado. Agora, respira com a Terra e vibra com o céu.;Unidade é quando não há mais entre — só dentro.;Toque simultâneo nos pés e nas mãos abertas;Folha fresca, terra úmida e flor silvestre;Som do vento, da água e dos próprios passos;Figura conectada à natureza em contemplação;Alimento integral colhido diretamente da natureza
A128;5??–7??–0??;??;R5Y7B0;5;7;0;Perfil de Presença Que Eleva;A Escada Invisível;Pessoa que leva os outros à elevação apenas por estar presente. Sua energia inspira transformações sutis e profundas.;Você não convence — você inspira. Sua alma é escada que leva para cima, sem precisar que os outros saibam que estão subindo.;Elevar é ser caminho sem precisar ser meta.;Toque com os dedos no topo da cabeça e depois nos ombros;Olíbano suave e flor branca;Notas ascendentes de instrumentos de corda;Degraus que se formam na luz, sem estrutura visível;Chá floral leve com aroma inspirador
A129;4??–8??–0??;??;R4Y8B0;4;8;0;Perfil de Verdade Silenciosa e Sutil;O Eco Interior;Pessoa que sustenta sua verdade interior com serenidade. Não impõe, mas vibra coerência e integridade.;Você não grita o que acredita — você vive o que sente. Sua alma ecoa firmeza no silêncio.;A verdade mais forte não precisa de palco.;Toque na garganta com leve inclinação do queixo;Cedro e camomila;Som suave e contínuo que retorna em eco;Figura em silêncio diante da natureza;Infusão serena com raiz e flor branca
A130;3??–9??–0??;??;R3Y9B0;3;9;0;Perfil de Neutralidade Elevada com Propósito;O Centro Vivo;Pessoa que não se envolve com extremos e permanece ancorada no centro. Age com equilíbrio em meio à dualidade.;Você não é a margem — é o ponto de equilíbrio. Sua alma respira no meio do caos, sem perder o compasso.;Ser centro é abraçar os dois lados sem se perder em nenhum.;Mãos sobre o umbigo com respiração compassada;Erva-doce e flor neutra;Pulsação contínua entre notas graves e agudas;Mandala girando lentamente no centro;Alimento leve e neutro (arroz com ervas suaves)
A131;2??–10??–0??;??;R2Y10B0;2;10;0;Perfil de Plenitude Espiritual com Consciência Expandida;O Oceano em Paz;Indivíduo que vive com consciência expandida, sentindo-se parte do Todo. Suas ações são alinhadas com a totalidade da vida.;Você já não é gota — é mar. Sua alma repousa onde a vastidão encontra a calma.;Plenitude é quando a alma não quer nada além de estar.;Toque com as duas mãos nas laterais da cabeça em respiração profunda;Sal marinho e flor leve;Som de ondas lentas em praia deserta;Horizonte entre céu e mar sem fim;Infusão com toque salino e floral
A132;1??–11??–0??;??;R1Y11B0;1;11;0;Perfil de Realização Suprema e União Espiritual Completa;A Alma Unificada;Pessoa que atingiu a integração total entre alma, espírito e corpo. Sua existência manifesta unidade em todos os níveis.;Você já não caminha — você é caminho. Sua alma já não busca — ela se tornou o destino.;A alma unificada não se divide — ela irradia.;Toque em três pontos: entre sobrancelhas, peito e abdômen;Flor sagrada, âmbar e raiz sutil;Silêncio vivo com som contínuo imperceptível;Figura sentada irradiando luz em 360º;Infusão sagrada com toque doce e terra
A133;2??–2??–8??;??;R2Y2B8;2;2;8;Perfil de Fé Constante com Esperança Ativa;A Chama Inabalável;Pessoa que sustenta a esperança como disciplina espiritual. Não se abala facilmente e permanece firme na visão superior.;Você alimenta sua fé mesmo no silêncio. Sua alma é uma vela que nunca apaga, mesmo sob vento forte.;A constância da alma acende o impossível.;Mãos unidas como concha sobre o coração;Canela e flor seca;Som suave de fogo crepitando;Chama única acesa em ambiente escuro;Infusão quente com especiarias firmes
A134;3??–2??–7??;??;R3Y2B7;3;2;7;Perfil de Justiça Compassiva;A Espada com Flor;Pessoa que age com justiça sem perder a ternura. Defende com firmeza, mas nunca com rigidez.;Você aprendeu que justiça sem amor vira punição. E amor sem justiça vira permissividade. Sua alma equilibra ambos com sabedoria.;A verdadeira justiça é firmeza com afeto.;Toque com os dedos no centro da testa e no coração;Alecrim e pétala de rosa;Som metálico suave seguido de respiração longa;Espada com uma flor enroscada na lâmina;Chá de raiz e flor com toque levemente amargo
A135;4??–2??–6??;??;R4Y2B6;4;2;6;Perfil de Comunicação Curadora;A Voz que Acolhe;Pessoa que sabe usar as palavras como instrumento de cura. Fala com doçura, escuta com profundidade.;Você transformou sua boca em ponte de cura. Sua alma sussurra bálsamos mesmo quando cala.;Quando o coração fala, o outro escuta com a alma.;Toque leve nos lábios com intenção de bênção;Flor de maracujá e mel;Voz doce dizendo 'estou com você';Pessoa ouvindo com total atenção;Infusão suave com mel e pétalas
A136;5??–2??–5??;??;R5Y2B5;5;2;5;Perfil de Serviço Silencioso com Grande Impacto;O Raio Invisível;Indivíduo que serve de forma quase imperceptível, mas com grandes efeitos. Atua nos bastidores da transformação.;Você não aparece — mas transforma. Sua alma age como raio de sol em noite fria: ninguém vê, mas aquece tudo.;O invisível de hoje é o milagre de amanhã.;Toque nos ombros e palma voltada ao chão;Flor branca e raiz leve;Som de respiração e vento suave;Luz tênue atravessando uma fresta;Infusão quente com notas sutis e acolhedoras
A137;6??–2??–4??;??;R6Y2B4;6;2;4;Perfil de Discernimento Sereno;A Luz entre Sombras;Pessoa que sabe enxergar além das aparências sem julgamento precipitado. Sua percepção é refinada e acolhedora.;Você não se apressa em julgar. Sua alma enxerga o que está por trás, como luz que dança entre as sombras.;Discernir é amar sem ingenuidade.;Toque nos olhos fechados e depois no coração;Flor de jasmim e lavanda;Som intercalado de silêncio e melodia suave;Luz suave invadindo uma sala escura;Infusão equilibrada entre amargo e doce
A138;7??–2??–3??;??;R7Y2B3;7;2;3;Perfil de Abertura Sagrada ao Novo;A Janela Destravada;Indivíduo que recebe as mudanças como oportunidades espirituais. Vive com leveza diante do novo.;Você não trava mais portas. Sua alma aprendeu que o novo pode ser bênção — e abriu janelas para que ele entre.;O novo só entra onde a alma está livre.;Mãos abrindo espaço no ar com intenção;Eucalipto e flor de campo;Som de vento entrando por janelas abertas;Cortina esvoaçando com o sol entrando;Fruta fresca consumida com respiração profunda
A139;8??–2??–2??;??;R8Y2B2;8;2;2;Perfil de Recomeço com Propósito Elevado;A Semente Viva;Pessoa que reinicia sem culpa ou resistência. Sabe que cada recomeço pode conter um propósito maior.;Você não vê fim, vê chão fértil. Sua alma virou semente que não teme o escuro — sabe que ali começa a luz.;Recomeçar é reconhecer que tudo ainda pode florescer.;Mãos em concha sobre o abdômen como quem protege algo novo;Terra úmida e flor brotando;Som de chuva leve sobre folhas;Semente abrindo sob a terra com luz surgindo;Chá com sementes doces e raízes suaves
A140;9??–2??–1??;??;R9Y2B1;9;2;1;Perfil de Elevação Interior com Simplicidade;O Degrau da Alma;Pessoa que evolui espiritualmente sem soberba. Cada avanço é silencioso e real.;Você não grita sua evolução — você a pisa. Cada passo é um degrau invisível rumo à luz.;A alma que sobe de verdade não faz alarde — apenas acende.;Pés firmes no chão e mãos ao lado do corpo em reverência;Incenso suave e flor neutra;Som de sino discreto ao longe;Degraus finos em espiral subindo à luz;Infusão quente de flores com raiz
A141;10??–2??–0??;??;R10Y2B0;10;2;0;Perfil de Coragem Silenciosa;O Guerreiro de Luz;Pessoa que enfrenta desafios com serenidade e fé. Sua força está na constância, não na agitação.;Você não precisa gritar para ser forte. Sua alma já entendeu que coragem é continuar mesmo em silêncio.;Coragem não é barulho — é permanência.;Punhos sobre o peito com respiração firme;Alecrim e erva de leão;Som grave e constante como um tambor distante;Figura em pé com olhar fixo e calmo;Infusão forte com especiarias de raiz
A142;11??–1??–0??;??;R11Y1B0;11;1;0;Perfil de Amor em Estado de Consagração;A Vela Acesa;Indivíduo que vive o amor como oferenda espiritual. Tudo que faz é feito com intenção amorosa.;Você ama com alma e entrega. Seu amor não quer nada — ele só deseja ser luz acesa no altar da vida.;Amar é acender sem queimar.;Toque no centro do peito com os dedos em forma de chama;Flor sagrada e cera quente;Som do fogo ardendo suavemente;Vela acesa no escuro irradiando calor;Infusão com mel, flor e calor
A143;12??–0??–0??;??;R12Y0B0;12;0;0;Perfil de Sabedoria Encarnada;A Terra Iluminada;Pessoa que vive de forma simples e sábia. Suas ações revelam consciência elevada aplicada ao cotidiano.;Você não ensina com palavras — ensina com passos. Sua alma virou terra onde a luz se firmou.;A sabedoria encarnada tem cheiro de chão e cor de céu.;Toque simultâneo nos pés e na testa;Argila, flor branca e erva fresca;Som de terra sendo regada;Pessoa plantando em silêncio com gratidão;Raiz doce, folha leve, infusão terrosa
A144;6??–6??–0??;??;R6Y6B0;6;6;0;Perfil de Unidade com a Consciência Suprema;A Alma Una;Pessoa que não se percebe mais separada do Todo. Vive em pura entrega, alinhamento e plenitude espiritual.;Você não se sente mais parte — sente-se o Todo. Sua alma chegou à fusão com a Fonte.;Ser Uno é ser todos, sem deixar de ser si.;Toque em forma de círculo com as mãos sobre o abdômen;Flor de lótus e incenso sutil;Som de silêncio vivo e expansão energética;Aura circular de luz envolvendo o corpo;Infusão etérea com sabor floral e neutro
